comment_se	comment_en	tags
"Buggar och självklara önskemål 
Den nya versionen har stöd för engelska, men språkvalet måste självklart vara inställbart i appen och inte som nu följa det språk som mobilen är inställd på. Som professionella apputvecklare är det kundens behov som ska styra och inte vad någon utvecklare tycker och ev hänvisar till några riktlinjer. Jämför appar som Facebook, Swish och BankID där språket är valbart under inställningar och oberoende telefonens språk.

Övrigt: 
1. Vid överföringar mellan konton vore det önskvärt att egna konton är förvalda (jag överför oftare pengar mellan egna konton än betalar till PG/BG). Alternativt att man kan ställa in vilket konto som ska vara förvalt.
2. När man väljer bland sina egna konton under överföringar har ni nu infört rubriker efter respektive bokstav. Då man ofta bara har några få konton som privatperson gör detta listan onödigt lång och svårare att överblicka.

Bugg:
Under dokument går det inte att visa bolån-dokument. Man får ett felmeddelande när man trycker på ”visa”-knappen efter första popup-rutan som dyker upp. Detta är inget PDF-dokument och därför en trolig bugg i appen (går bra att visa i Internet-banken på datorn)"	"Bugs and sjlvklara wishes
The new version has std from English, but sprkvalet must sjlvklart be instllbart app and not now follow the language of the cell phone has been selected on. As a professional app developers is the customer's need to control and not what someone developers think and possible hnvisar to a few guidelines. Comp apps as Facebook, Swish and Bank ID Dr. sprket is selectively during instllningar and independent language of the phone.

Other:
1. At verfringar between accounts would be nskvrt to own accounts is frvalda (I verfr often money between their own accounts n pay to PG / BG). Alternatively one to stlla into the account to be frvalt.
2. No one chooses among its own accounts for verfringar you now infrt headlines after each letter. D often have only a few f accounts as a private person makes this list ondigt long and more difficult to verblicka.

bug:
In the document makes it not display boln documents. Male for an error no pressing on the preview button after the first pop-up box that appears. This is not a PDF document and is why a probable bug in the app (gr good showing in the Internet bank on your computer)"	Account list is not convenient; App language setup; Can't set default accounts; Tech issue / bug; 
"Bra 
+1, Jag vill också ha appen på svenska igen. Det är ju det som man är van vid.

Smart att man kan stänga av sitt kort för Internetköp enkelt nu 👍🏻

Det är också enkelt att köpa på sig mer av samma fonder som man redan har 👍🏻

Nu vill jag bara ha notifieringar när pengar kommer in på mitt lönekonto!!! 👎🏻"	"Good
+1, I would also have the app on Swedish again. It is of course what you are used to.

Smart that you can turn off their card from Internetkp easy now

It is also easy to purchase on more of the same funds that you already have

Now I just want to have alerted No money coming in on my lnekonto !!!"	Internet purchases; Notifications on transfers; Praise; Requested feature; 
"Mkt bra, men... 
Håller med flera av tidigare recensioner. Fixa sök och scrollfunktion med bokstäver på alla betalningslistor, så man snabbt kan hitta betalningsmottagare. Annars grym!"	"Very good, but ...
Agree with many of the previous reviews. Fix called and scroll function with bokstver on all payment lists, s you can quickly find payees. Otherwise cruel!"	Praise; Requested feature; Search; Transaction history; 
"Hej
Är väldigt frustrerad över att ni tagit bort bank id på fil.
Att ha id på mobilen är osäkert eftersom det dels inte finns något virusskydd på mobilen samt att det lättare hamnar i orätta händer!
Dåligt att tvinga människor in i ny teknik som inte passar dem!
Är förbannad!
Byter nog bank så småningom. "	"Hello
r vldigt frustrated over that you removed the banking ID on file.
To have ID on your phone is oskert because first, there is something anti-virus on the cell phone and the easier end up in ortta hands!
Dligt forcing of people into new technology that does not suit them!
r frbannad!
Switches enough bank's smningom."	BankID on file; Frustration; Mentions leaving bank; Requested feature; 
"Gör vad den ska, lite buggig 
Appen gör i grunden vad den ska. Man kommer åt konton och kan göra betalningar och överföringar. Dock lite buggig ibland. Nyss kunde jag inte föra över pengar mellan egna konton. Fick istället meddelandet ”Signeringsärendet finns inte” när jag skulle godkänna. Fick gå in på webben istället. Där gick det utmärkt. 

Förutom felet jag just fick blir jag ännu mer irriterad på att det enda sanktionerade sättet att rapportera felet verkar vara att ringa ett telefonnummer. Jag har ingen lust att prata med någon, utan vill bara skriva av mig. Så då blir det här istället för på ”rätt” ställe. Hur svårt kan det vara att ha en mailadress eller ett webbformulär för feedback på appen?"	"Gr what it should be, a little buggy
The app makes basically what it should be. It will, for accounts and can make payments and verfringar. However, a bit buggy at times. Recently, I could not fra over money between their own accounts. Did instead Signeringsrendet message is not No. I would godknna. Pocket g zoom on the web instead. Dr. went excellent.

In addition to the error I just did I become even more irritated on that the only sanctioned sttet to report the error appears to be to call a phone number. I have no desire to talk to someone, but just want to write to me. S d becomes hr instead fr stlle on the right. How SVRT can it be to have an address or a webbformulr for feedback on the app?"	Feedback tool; Old app; Requested feature; Tech issue / bug; 
Saknar att kunna söka på referenstext. Samt utskriften är väldigt mycket större än förut. Gillade när det var smalare och fick mer plats på färre papper.	Lacking to be p reference text. And the printing is vldigt much bigger than frut. Liked No it was smaller and had more space on fewer paper.	Look and feel; Printing transactions; Requested feature; Search; 
"Hi

Please i need to activate my international bank transfers to outside Sweden 

Can you help me with that?

M**** *****
1983********"	"Hi

Please I need to activate my international bank transfers to outside Sweden

Can you help me with that?

M **** *****
1983 ********"	International payments; Misunderstood feedback feature; Seeks customer support; Wrong categorisation  ; 
"Jag tycker er nya banksida suger.
Den är rörig, ologisk, svårjobbad och plottrig.
Den gamla var ljusår bättre.
Överväger faktiskt att byta bank p.g.a den kassa banksidan."	"I like your new bank site sucks.
It is rrig, illogical, svrjobbad and cluttered.
The old one was ljusr better.
vervger actually changing banks p.g.a the cash banking side."	Frustration; Likes old website better; Mentions leaving bank; UX/UI issue; 
"Nya internetbanken är urkass. Har ni försökt betala flera e-fakturor omgående? Man måste sitta och editera datum en och en. Uruselt. I gamla gik det mycket bättre samt bättre översikt. Nu är allt alldeles för stort och klumpigt. Suck. Ge oss tillbaka den gamla internet banken.
Mvh fortfarande kund...."	"New Internet bank is urkass. Have you frskt pay several e-invoices omgende? You have to sit and edit date one by one. Lousy. In the old GIK is much better and better overview. Now, is it all right for big and clumsy. Sigh. Give us back the old Internet bank.
Sincerely still accounts ...."	Invoice issues; Likes old website better; UX/UI issue; Wrong categorisation  ; 
Den nya hemsidan är så usel att jag har för avsikt att byta bank. Min rekommendation är: Sluta avveckla en bra tjänst. Tvinga inte in användare i en tjänst som inte fungerar bra på en stor skärm.	The new website is s lousy that I intend to change banks. My recommendation is: Stop liquidate a good service. Do not force anvndare in a service that does not work well on a large SKRM.	Frustration; Likes old website better; Mentions leaving bank; UX/UI issue; 
"Ni har sämst kundservice på bankkontoren. Att det bara är ett bank kontor på södermalm, stockholm är rent ut sagt skitdåligt. 12******invånare borde räcka som underlag. Nu lämnar jag som kund. Jag vill inte stå och vänta i 45 min varje gång jag måste till banken. 
Ja, de senaste gångerna har det tagit 40-***min.
Och ja, ibland måste man gå till banken - allt går inte att göra över telefpon eller på nätet. 
Att ni tvättar pengar gjorde det hela lättare.

irriterade hälsningar J*****"	"You have assy customer service on the branches. That there is only one bank office p sdermalm, Stockholm is downright skitdligt. 12 ****** inhabitants should rcka as substrate. Now I am leaving the customer. I do not want to stand and Wait for 45 minutes every time I have to the bank.
Yes, the last gngerna it has taken 40 - *** minutes.
And yes, sometimes you have to g to the bank - everything is not possible to make over telefpon or p ntet.
That you tvttar money made it all easier.

annoyed hlsningar J *****"	Dirty facilities; Frustration; Long waiting time at branch; Mentions leaving bank; 
"Riktig, riktigt dålig mot tidigare version.

Vi har över 700*löntagare. Finns bara en sida och den visar väl kanske 20%*av dem som finns på listan. Hur kommer jag åt övriga löntagare när dem inte syns. Finns ingen knapp för sidan 2 osv...

Går fortfarande inte att söka i listan efter namn eller bankkonto. Den funktionen saknas i Lönelistan men finns i ""Överföring"".

Massor med klick, för att klicka upp varje person för att registrera ett lönebelopp. Fältet borde finnas direkt för registrering för att slippa klicka så mycket.
Jag vill inte ""öppna"" alla personer.

Lönelistan går inte att sortera i bokstavsordning på efternamn. Varför det? Vi vill inte ha förnamn utan efternamn, då vi delat in alla våra personer via en ""bokstav"" först i efternamnet. Vi får dem då sorterade som vi vill.

Ej överskådlig

Hälsningar
******
Skiljebo SK

"	"True, true walk-through to the previous version.

We have over 700 * lntagare. There is only one page and it shows vl perhaps 20% * of those who are on the list. How do I get for ther lntagare No it is not visible. There is no button for page 2 and so on ...

Gr still not be in the list by name or bank account. The feature is missing in Lnelistan but see ""verfring"".

Lots of clicks, for clicking up any person from registering a lnebelopp. Fltet should be directly from the registration from to avoid clicking so much.
I do not ""open"" all the people.

Lnelistan is not possible to sort alphabetically on last name. Why there? We do not want frnamn without surnames, d, we divided all our people through a ""literal"" understand the name. We for those d sorted as we want.

not verskdlig

Hlsningar
******
Skiljebo SK"	Payroll; Requested feature; Sorting; UX/UI issue; 
"Skaffa Nordea 
Att man inte kan använda Apple Pay 2019 är bara ett skämt. Skaffa en annan bank för detta duger inte"	"Get Nordea
That you can not use the apple pay in 2019 is just the jokes. Get a different bank from this is not good enough"	Apple Pay; Mentions leaving bank; Nordea; Requested feature; 
"Hela skärmen används inte sv appen likt den gamla appen. Skamligt 201**att släppa en app som är betydligt sämre än föregångaren. KF syns heller inte, inte kunna skriva ut e-fakturor, ..***
Inte acceptabelt detta!!!!**"	"Full-screen is used not en app like the old app. Disgraceful 201 ** to let go of an application that is considerably smre n fregngaren. KF seen nor, not being able to print electronic invoices, .. ***
Not acceptable this !!!! **"	Printing transactions; Requested feature; UX/UI issue; capital endownment; 
Gör så att man enkelt kan se om det finns meddelanden på swichbetalningarna.	Gr so that you can easily see if there are messages on swichbetalningarna.	Content; Improvement; Swish; Transaction history; 
Jämfört med tidigare version så upplever jag denna krånglig och filtreringen blir även svårläst när den är nedladdad. Saknar utskriftsmöjlighet direkt när du filtrerat så som tidigare. 	Compared with the previous version's, I experience this krnglig and filtering becomes even svrlst No it is downloaded. Lacking utskriftsmjlighet directly when you Filter's previously.	Printing transactions; Requested feature; Transaction history; UX/UI issue; 
Minska radavstånd, se till så att månadsbrytningar inte täcker någon transaktionsrad, se till så att det går attskriva ut kontoutdrag direkt utan export, rent ut sagt så fungeraar allt dåligt	Decrease line spacing, see until mnadsbrytningar not think someone transaction line, ensure s that it makes attskriva out account statements directly without exports, downright's fungeraar everything dligt	Look and feel; PDF export; Printing transactions; Requested feature; 
"På utlandsbetalningarna kan man inte se vem man har betalt måste gå in i den gamla versionen. 
Tightare med informationen i den tidigare versionen också vilket är bra när man vill se så mkt som möjligt. Kan förstå att konsument versionen måste vara anpassad till alla kundgrupper men inte inom företag. 
Favoritkonton? Märkligt. "	"P international payments can not see who you've paid must go into the old version.
Tighter with the information in the previous version, which is also good no one wants to see p mkt as possible. Can understand the consumer version must be adapted to all customer groups but not in the COMPANY.
Favorite Accounts? Mrkligt."	International payments; Prefers OIB; Requested feature; UX/UI issue; 
Ingen utlandsbetalning. Utskrifter svåra att få till. Och att man måste klicka sig fram till konto. 	No foreign payment. Printing acid The to f to. And that you have to click through to account.	International payments; Printing; Requested feature; UX/UI issue; 
"Krånglig översikt bläddra fram & tillbaka istället för att bara visa kontona.
Saknar att kunna skriva ut elfakturorna, dokument & bankgiro löpen!
Saknar att se transaktionerna på kreditkortet!"	"Royal Overview scroll and back instead of just showing the accounts.
Lacking to print energy bills, documents and bank LP!
Lacking to see transactions on the credit card!"	Credit card; Favourite; Printing; Requested feature; 
"Ser OK ut, men funktionerna för att underlätta finns inte där och många funktioner fungerar fortfarande in från gamla sidan... Får error när jag går till BG-insättning från nya men inte gamla. 

Varför inte enkelt kunna lägga in flera betalningar samtidigt (både BG/PG och överföringar till bankkonton)? Detta kunde vara som en tabell med flera rader för konto, summa, datum o.s.v. så man kan kopiera uppgifter emellan raderna. Som kassör skulle det underlätta mycket."	"Looks OK, but the features from the underltta is not Dr. and many features are still in from old hand ... Fr error No. I go to BG deposit from new, but not old.

Why not simply be Allocating multiple payments at the same time (both BG / PG and verfringar to bank accounts)? This could be as a table with several rows from account, amount, date, etc. s you can copy data between the lines. As kassr would underltta much."	Incoming Bankgiro Payments; Payments and Transfers; Register several payments; Requested feature; 
"Ta tillbaks den gamla internetbanken både för privat och företag , den funkade jättebra, jag har försökt vänja mig vid nya varianten under ett år nu tror jag, det går väldigt dåligt, allt tar längre tid och dålig översikt. just nu skall jag göra en internationell betalning och det verkar inte finnas här längre, det är katastrof, ni kan inte sjösätta sånt här innan ni avbuggar, det här är en bank inte facebook för sjutton. om det gick att sätta minusstjärna så skulle jag göra det.   *Suck

Ge oss som vill möjlighet att köra på den gamla internetbanken. den är bra, möjligen någon liten förbättring vore bra där men i detaljer."	"Bring back the old Internet bank both for private and companies, it worked jttebra, I have frskt vnja me the new variant for a year now, I think, it makes vldigt dligt, everything takes longer time and walk-through overview. right now I make an international payment and there seems to be Mr. longer, there is disaster, you can not sjstta SNT hr before avbuggar, the HR is a bank is not facebook from seventeen. if it went to stta minusstjrna's I would make it. *Sigh

Give us who want the opportunity to kra on the old Internet bank. it is good, mjligen someone small frbttring would be good but where the details."	International payments; Prefers OIB; Requested feature; UX/UI issue; 
"1. när man t ex vill se historiken 1/1*********så kan man inte sortera i den ordningen utan man är tvungen att hantera med datan 31/*********; vill man ändra på det så får man skapa en excellista o sortera själv med alla risker o konsekvenser; det tidigare formatet var dessutom mycket lättare att läsa, layouten blev mycket trängre o mindre.
2. Varför kan man inte lägga in flera överföringar i en lista som det är möjligt med betalningarna? "	"1. No one example to see the history 1/1 ********* s can not be sorted in the order but they are forced to deal with the data 31 / *********; want to change at it's for you to create an Excel list o sort sjlv with all risks o consequences; the previous format was also much easier to read, the layout was very congested o less.
2. Why can not Allocating several verfringar in a list that it is possible with the payments?"	Multiple transfers; Requested feature; Solved; Sorting; 
Genom att göra det enklare att scanna fakturauppgifter. Vore även bra med digital kvittohantering.	By making it easier to scan the invoice details. Would also be good with digital receipt management.	Bug; Invoice issues; Requested feature; ocr/scan; 
Saknar några funktioner från gamla sidan, tex köra ut excel, sortera, få koll på större antal transaktioner.	No few functions from the old page, such Kra out Excel, sort, f track of larger number of transactions.	Order reports; Printing; Requested feature; Sorting; 
Bland annat när man ska betala flera fakturor samtidigt så tycker jag att gamla sidan var enklare. Det var även bättre när man beställde utskrift av transaktioner i gamla systemet, nu blir det massor av sidor där det tidigare bara blev en.	Among other things, no one will pay multiple invoices at the same time s, I think the old site was easier. It was even better No one bestllde printout of transactions in the old system, now it will be lots of pages where there was previously only got one.	Invoicing; Navigation; Payments and Transfers; Prefers OIB; 
"Seg sida, som hänger sig, trots att den är uppdaterad med de senaste. Krånglig översikt, otydligt hur man går vidare i menyer, vissa saker åker man tillbaka till gamla versionen osv. Aktie sidan är riktigt dålig, otydlig och inaktuella tips/ rekommendationer.
Kan ärligt säga att jag funderat på att byta bank enbart för er dåliga hemsida. Jag jämför mkt med Länsförsäkringar som är betydligt enklare.  "	"Seg page, which hnger itself, even though it is updated with the latest. Krnglig overview, unclear how gr further menus, some things ker it back to the old version, and so on. Share page is really walk-through, unclear and outdated tips / recommendations.
Can rligt say that I thought on changing banks only for you dliga website. I very cf. with Lnsfrskringar which is much simpler."	Navigation; Performance; Prefers OIB; UX/UI issue; 
Inte lika tydlig som den gamla och vissa funktioner är inte på plats känns det som. Filbetalningar, återrapportering, kontoavstämning är lättare från gamla. 	Not as clear as the old and some features are not in place it feels like. Filbetalningar, terrapportering, kontoavstmning is easier from the old.	File transfers; Requested feature; Transaction history; UX/UI issue; 
"On a general basis, far too much information is lost in the documentation system - I explain:

1. Too few characters available to describe payments. To tease you a bit I would say ""Welcome to 202****the 199*ies are long over!"" ;-)

2. Such notes have a tendency to not appear on digital version or dissapear when printing on paper. (A document payment_sum + payment_from_account + payment_to is not enough: I wished my notes be printed on that document too)

3. Difficult to keep track of payment through print (paper/digital). I often need to capture screendump.
"	"On a general basis, far too much information is lost in the documentation controls - explain:

1. Too few characters available to describe payments. To tease you a bit I would say ""Welcome to the **** 202 199 * ies are long over!"" ;-)

2. Such notes have a tendency to note Appear on digital version or dissapear When printing on paper. (A Document payment_sum payment_from_account + + payment_to is not enough: In wished to ask my notes printed on That document too)

3. Difficult to keep track of payment through print (paper / digital). In Often Need to capture screen dump."	Digital receipt; More characters in message field; Printing; Requested feature; 
"Går bara att göra 10 betalningar åt gången.
Inte utskriftvänlilig sammanställaning av gjorda (10)!.betalningar."	"You can only make 10 payments for a time.
Not Printable sammanstllaning of handmade (10) !. payments."	Payments and Transfers; Printing; Requested feature; UX/UI issue; 
Jag har inte kunnat beställa ett nytt utan att ta bort mitt bankkort under perioden jag väntar med ett nytt. Anledningen är att jag inte kunde legitimera mig över telefon. Har varit utan pinkod i över ett år.	I have not been able bestlla new without removing my debit card in the period I await with a new one. The reason is that I could not justify me over the phone. Has been without a PIN for over a year.	Card ordering; Customer Service; phone identification problems; 
"Hej!
Jag har engelska som val av första språk i min telefon och svenska som andra språk. Enligt er ”frågor och svar” ska det då gå att ha er app på svenska. Jag lyckas dock inte ta reda på hur. Hur ställer man in språkval i appen?"	"Hey!
I have English as their first choice of language in my phone and Swedish as a second language. According to your queries and answers will be the d g to have your app p Swedish. I manage to not find out on how. How stller to the sprkval app?"	App language setup; Lack of information; Wrong categorisation  ; 
Alla uppgifter i exportfilen som finns med i den gamla internetbanken finns inte med i den nya, tex avsändarnamn.	All data in the export file located in the old Internet bank is not in the novel, such avsndarnamn.	Export; Receipt needed; Requested feature; 
Min App swedbank Fungerar inte på min telefon samsung J5	My App Swedbank does not work on my phone samsung J5	App does not run on a phone; Tech issue / bug; Wrong categorisation  ; 
förenkla inläggandet av uppgifter som det var tidigare. ikon för skrivut saknas. tycker det tar aldeles för mycket tid dessutom behövs mer än 10 rader.	frenkla inlggandet of data as it was before. Fri & Print icon missing. think it takes too much time aldeles also behvs more than 10 lines.	Bankgiro; Print; Requested feature; 
"Language setting and e-invoice 
Let the user decide the language instead of picking from the phone language setting. Hard to add your own request for a e-invoice from a sender/subscribe, afterwards..."	"Language setting and the e-invoice
Let the user Decide the language instead of picking from the phone language setting. Hard to add your own request for a e-invoice from a sender / subscribe, afterwards ..."	App language setup; UX/UI issue; e-faktura; 
"Jonatan 
Om ni vill att folk ska släcka spara&placera-appen, behöver aktiekurser bli tillgängligare i den vanliga appen, dvs utan logga in, trycka 18 ggr etc."	"Jonathan
If you want people to slcka save & invest app, need stock quotes become tillgngligare in the usual application, ie without logging in, press 18 times, etc."	Requested feature; Wrong categorisation  ; equity prices while logged out; 
"Mixed languages - bad user experience 
This is another angle on the countless complaints regarding the inability to switch language in app (which is possible in BankID and Swish). I write this in English since apparently you now assume this is my preferred language for Swedbank. But tell me then: why are my bank messages only in Swedish? Why is the chatbot only available in Swedish? Why are the login alternatives in Swedish? Why are the terms and conditions for Abonnemangshjalpen (not translated) in Swedish? And dear god, even the maintenance notification at the top - which I assume you want English speaking users to understand - is in Swedish. And why is there a lowercase “s” in “spontaneous Savings”?

I hope the point is clear. A partially translated app is bad user experience. Or do you think the Apple guidelines say otherwise?"	"Mixed languages ​​- bad user experience
This is another angle on the countless complaints Regarding the inability to switch language in app (Which is possible in the BankID and Swish). I write this in English since apparently you now assume this is my preferred language for Swedbank. But tell me then: why are my bank messages only in Swedish? Why is the chatbot only available in Swedish? Why are the login alternatives in Swedish? Why are the terms and conditions for Abonnemangshjalpen (not translated) in Swedish? And dear god, even the maintenance notification at the top - Which I assume you want English speaking users to understand - is in Swedish. And why is there a lowercase s in spontaneous Savings?

I hope the point is clear. A Partially translated app is bad user experience. Or do you think the Apple guidelines say otherwise?"	App is partially translated; App language setup; UX/UI issue; 
"Går inte att skriva ut 
Inkomna e-fakturor i appen"	"Gr not print
Incoming e-invoicing app"	Old app; Print; Requested feature; 
"Problem 
Appen funkar bra, men önskar att det inte var samma ikon på Swedbank privat och företag. Nu ser de exakt lika ut i telefonen och det är omöjligt att veta vilken som är vilken. 

Det vore också bra om det gick att godkänna lönelistor i appen. Nu måste man göra det via websajten."	"Problem
The app works fine, but wish it was not the same icon on Swedbank private and companies. Now they look exactly the same as the phone and it is impossible to know which is which.

It would be also good if we could godknna lnelistor app. Now you have to make it through the website."	Old app; Payroll; Requested feature; 
"Nätverksfel 
Jag får nätverksfel hela tiden när jag ska bekräfta betalning.  Detta har pågått under en lång tid. Meddela gärna ifall ni jobbar på det så jag vet ifall vi ska byta bank."	"Network error
I fr network all the time when I will confirm the payment. This has pgtt for a long time. Notify green if you're working on it so I know if we should switch banks."	Old app; Payments; Tech issue / bug; 
